,mean
90319.0,0.020921695550133425
90373.0,0.017562397051535665
90386.0,0.010510960001038553
90454.0,0.022148241977227638
90455.0,0.025367343036482998
90505.0,0.017656769130794153
90520.0,0.017353353553346766
90601.0,0.017121184242050596
90664.0,0.03130766839472468
90805.0,0.01135065537196559
90808.0,0.01701881319478473
90829.0,0.021284362806755597
90880.0,0.01489582900781246
90979.0,0.01764910436507252
90993.0,0.019825484569768608
91041.0,0.017769540137929273
91068.0,0.0238981349370791
91103.0,0.014890675358151433
91152.0,0.025516603018094573
91233.0,0.028487411000601925
91416.0,0.013045105955985025
91461.0,0.0046497698674898835
91547.0,0.00905304859833414
91556.0,0.022327575587669925
91668.0,0.021425822901531045
91849.0,0.016185436240838277
91926.0,0.013381070398203352
91937.0,0.013374146444093795
92121.0,0.014563221106147224
92157.0,0.013201565045600768
92322.0,0.020989906916318198
92402.0,0.021571132524345966
92602.0,0.008829629162948783
92611.0,0.019655562835269508
92614.0,0.016059190711031797
92655.0,0.019922123005635107
92778.0,0.01290528139151874
