Date,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
1930/3/31,1.01,-8.27,4.3,15.88,2.47,-0.19,7.3,5.99,10.3,-2.56,3.55,5.54,5.21,9.13,12.68,5.91,1.75,0.95,19.08,9.72,8.79,9.41,4.5,6.15,3.9,-4.91,-2.74,4.92,8.74,6.26
1930/4/30,3.23,-11.33,-2.88,4.79,0.95,-1.53,-1.13,-1.27,-5.31,-9.88,-5.41,-13.38,6.24,2.97,-8.62,-6.53,-13.56,-8.4,7.4,3.34,-4.52,-0.42,-1.77,-2.77,-7.13,4.67,2.58,2.44,-4.08,-3.24
1930/5/31,1.86,-0.45,1.86,-3.56,-0.87,-7.45,-4.2,-1.49,-2.34,-5.77,-1.36,0.19,-5.68,-4.9,5.04,-5.75,5.4,-2.02,-3.81,-1.33,0.4,-14.75,-2.44,0.06,-0.44,-8.21,0.07,-1.86,-5.71,-8.15
1930/6/30,-11.55,-29.19,-8.86,-23.17,-11.97,-24.57,-12.4,-13.34,-17.73,-18.26,-18.54,-13.23,-17.07,-20.07,-22.65,-17.74,-7.97,-11.55,-15.67,-19.06,-8.34,-3.47,-18.47,-16.93,-9.86,-24.1,-16.08,-17.26,-21.44,-18.05
1930/7/31,3.22,1.74,2.93,2.77,3.65,5.84,3.23,6.52,5.45,5.4,7.74,3.41,3.04,3.99,11.81,4.8,3.64,-1.46,5.5,4.06,1.27,1.88,4.38,7.51,3.25,-1.26,2.78,2.79,4.42,8.49
1930/8/31,1.63,9.24,4.62,3.71,-2.18,0.63,-2.89,7.71,4.35,-1.45,-2.63,-2.46,0.97,1.63,-2.24,0.34,-13.14,2.4,-3.47,1.18,1.74,5.76,4.43,-1.44,0.32,-7.71,5.42,1.75,1.26,-0.86
1930/9/30,-10.03,-12.28,-8.78,-18.23,-3.78,-10.53,-3.37,-8.7,-14.12,-13.01,-15.72,-11.84,-16.59,-20.05,-16.42,-17.63,-9.27,-5.88,-15.94,-11.92,-5.27,-6.67,-11.45,-12.82,-8.38,-9.65,-10.8,-13.98,-18.09,-18.14
1930/10/31,-4.89,-1.24,-4.74,-8.85,-6.78,-4.62,-5.19,-4.37,-12.32,-3.71,-14.45,-8.95,-10.66,-18.64,-11.22,-11.7,-10.59,-11.45,-8.19,-8.28,-4.12,0.27,-13.01,-3.09,-6.77,-6,-8.58,-10.38,-15.34,-14.71
1930/11/30,1.03,3.54,-0.93,-6.44,-2.98,-1.84,1.51,-3.23,0.1,-4.35,-2.9,-1.3,-0.73,-3.61,5.91,3.63,4.53,-9.62,-3.4,-8.74,-3.27,-6.66,-2.15,0.23,-5.42,2.75,2.97,-2.46,-8.32,2.23
1930/12/31,-4.8,-11.58,-3.11,-15.18,-5.02,-6.15,-7.47,-6.79,-4.7,-6.14,-12.24,-8.76,-9.54,-12.03,-1.58,-14.65,-8.32,-8.83,-12.49,-3.69,-3.8,1,-6.79,-5.81,-7.91,-3.94,-13.86,-8.17,-12.42,-13.24
